item_id,figure,panel,manuscript_role,conclusion,source_data_path,key_results_path,panel_map_path,export_qc_path,exists_source_data,exists_key_results,exists_panel_map,exists_export_qc
SD01,Figure 1,A,main_panel_source_data,Figure 1 defines the cohorts and evidence roles used to establish LAP3 as a state anchor.,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_a_evidence_frame.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD02,Figure 1,B,main_panel_source_data,The frozen LAP3-state is associated with major clinical and molecular glioma structure.,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_b_clinical_molecular_tests.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD03,Figure 1,C,main_panel_source_data,LAP3-state is reproducibly anchored to LAP3 expression across TCGA and CGGA cohorts.,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_c_lap3_state_anchor_reproducibility.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD04,Figure 1,D,main_panel_source_data,LAP3 ranks near the extreme of expression-matched genes for state anchoring.,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_d_expression_matched_random_benchmark.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD05,Figure 1,E,main_panel_source_data,"The state is coupled to TAM/myeloid, hypoxia, mTORC1/BCAA and translation context.",Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_e_state_context_benchmark_correlations.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD06,Figure 1,F,main_panel_source_data,The LAP3 term persists after lightweight composition adjustment but is attenuated.,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/source_data/figure1_panel_f_composition_adjusted_boundary.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure1_LAP3_Context_Benchmark/tables/figure1_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD07,Figure 2,A,main_panel_source_data,The frozen 207-gene union is built from TCGA and Core GBmap evidence with LAP3 excluded.,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_a_frozen_union_sources.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD08,Figure 2,B,main_panel_source_data,"The union separates into interpretable malignant-state, myeloid/TAM, anabolic/translation, proteostasis/stress and hypoxia/perinecrotic components.",Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_b_submodule_gene_sources.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD09,Figure 2,C,main_panel_source_data,"Bulk cohorts show distinct but coordinated submodule associations with LAP3, union and biological context readouts.",Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_c_bulk_submodule_context_correlations.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
SD10,Figure 2,D,main_panel_source_data,Core GBmap supports donor-state-level LAP3 coupling mainly for malignant-state and selected context modules.,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/source_data/figure2_panel_d_gbmap_submodule_lap3_coupling.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_key_results.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_panel_map.csv,Data_Bulk_TCGA/Data_Merged/results/Figure2_LAP3_State_Submodules/tables/figure2_export_qc.csv,TRUE,TRUE,TRUE,TRUE
