supplementary_item,proposed_title,primary_files,status,caveat
Supplementary Table 1,"Public cohorts, accessions and inference units",Project_Management/References/NOA_Reference_Final_Pass_20260702.md; Project_Management/References/references_noa_core_20260702.ris; Project_Management/References/GBM_Space_Manuscript_Preprint_Check_20260701.md,ready_as_index,CGGA and GBM-Space live checks completed on 2026-07-02; GBM-Space journal version must be rechecked again on upload day.
Supplementary Table 2,Frozen LAP3-state union gene set and source evidence,Data_Bulk_TCGA/Data_Merged/results/LAP3_State_Module/tables/lap3_state_frozen_gene_sets.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_State_Module/tables/lap3_state_gene_set_counts.csv,ready,LAP3 excluded; gene list should be cited as this-study source data.
Supplementary Table 3,LAP3-state submodule gene assignment and gene coverage,Data_Bulk_TCGA/Data_Merged/results/LAP3_State_Submodules/tables/lap3_state_submodule_gene_assignment.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_State_Submodules/tables/lap3_state_submodule_bulk_gene_coverage.csv,ready,Use gene assignment table rather than repeated Figure 2 key-results display rows.
Supplementary Table 4,Malignant-state M1/M2/M3 cluster gene assignment and cross-modal support,Data_Bulk_TCGA/Data_Merged/results/LAP3_Malignant_State_Module_Audit/tables/malignant_module_gene_clusters.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Malignant_State_Module_Audit/tables/bulk_malignant_cluster_score_correlations.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Malignant_State_Module_Audit/tables/gbmap_core_malignant_cluster_donor_state_associations.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Malignant_State_Module_Audit/tables/gbmspace_malignant_cluster_spatial_summary.tsv,ready,"Interpret clusters as scoreable co-expression arms, not causal malignant biology."
Supplementary Table 5,Figure 1-5 source-data map and key-results index,Project_Management/Plans/supplementary_source_data_index_20260701.csv; Figure 1-5 tables/figure*_panel_map.csv; Figure 1-5 tables/figure*_key_results.csv,ready,Use deduplicated index; Figure 2 key-results has repeated display rows.
Supplementary Table 6,"Core GBmap donor-state projection, sensitivity thresholds and gene coverage",Data_scRNA_GEO/GBmap_Core/results/LAP3_State_Union_Projection/tables/gbmap_core_lap3_state_*.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_State_Submodules/tables/gbmap_core_lap3_state_submodule_*.csv,ready,"Donor-state is inference unit; 20-cell threshold primary, 50/100 sensitivity."
Supplementary Table 7,"GBM-Space full spatial topology, contrast, LOTO and gene coverage results",Data_Spatial_Public/GBM_Space/results/LAP3_State_Spatial_Topology/tables/gbmspace_lap3_state_*.tsv; Data_Spatial_Public/GBM_Space/results/Figure4_LAP3_State_Topology/tables/figure4_representative_spatial_map_*.csv,ready,Readout-specific n_tumors must be preserved; Panel C contrast is supportive.
Supplementary Table 8,"CPTAC protein, direct BCAA and phospho-readout projection results",Data_Bulk_TCGA/Data_Merged/results/LAP3_State_CPTAC_GLASS_Projection/tables/cptac_lap3_state_submodule_*.csv; Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_c_cptac_bcaa_phospho_boundary.csv,ready,CPTAC is cross-sectional; direct BCAA null is a boundary result.
Supplementary Table 9,GLASS strict pair delta and recurrence-change results,Data_Bulk_TCGA/Data_Merged/results/LAP3_State_CPTAC_GLASS_Projection/tables/glass_lap3_state_submodule_*.csv; Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_d_glass_delta_coordination.csv; Data_Bulk_TCGA/Data_Merged/results/Figure5_CPTAC_GLASS_Boundary/source_data/figure5_panel_e_glass_recurrence_boundary.csv,ready,GLASS is strict patient-pair analysis; no universal recurrence activation claim.
Supplementary Table 10,Software/package versions and package-level citations,Project_Management/References/software_package_citations_20260701.csv,generated_this_pass,Package citations need final formatting during Methods writing.
Supplementary Table 11,Pre-specified mechanism landscape evidence matrix,Data_Bulk_TCGA/Data_Merged/results/LAP3_Mechanism_Landscape_Audit/tables/pre_specified_mechanism_families.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Mechanism_Landscape_Audit/tables/bulk_fgsea_mechanism_family_summary.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Mechanism_Landscape_Audit/tables/mechanism_evidence_long.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Mechanism_Landscape_Audit/tables/mechanism_evidence_matrix.csv; Data_Bulk_TCGA/Data_Merged/results/LAP3_Mechanism_Landscape_Audit/tables/mechanism_landscape_verdict.csv,ready,"Use as mechanism convergence / evidence-prioritization audit; not a causal mechanism discovery table."
